IP Address,Language,Purchase Price
49.226.48.33,de,3.21
211.182.89.112,en,76.91
221.118.253.41,es,55.17
67.172.52.215,es,95.72
254.23.45.66,pt,29.1
218.255.230.33,it,69.52
95.4.127.249,ru,34.97
163.3.240.212,es,85.67
47.2.204.112,en,14.13
35.76.228.172,fr,25.05
27.206.152.170,ru,90.65
125.243.12.23,pt,43.62
87.56.19.149,it,50.63
206.141.135.34,fr,14.46
232.254.194.40,zh,72.82
16.101.85.179,el,18.77
142.83.184.95,ru,5.21
171.131.246.121,en,74.74
182.241.102.244,it,0.19
25.94.154.42,el,46.6
144.125.187.182,de,50.92
103.182.232.81,ru,24.61
247.91.225.233,el,39.31
236.177.61.137,pt,78.36
198.98.34.250,pt,99.08
56.46.139.234,ru,28.66
38.9.169.254,fr,19.61
49.122.116.10,de,68.94
154.58.164.136,de,79.15
88.52.161.82,es,14.17
192.122.94.208,it,8.77
225.112.212.190,fr,70.29
41.223.2.107,el,76.53
204.30.128.96,ru,7.89
17.83.65.59,el,0.87
22.118.90.222,el,19.56
212.179.223.33,fr,79.43
143.113.106.6,es,43.55
159.157.116.182,es,31.58
235.110.187.124,it,98.42
221.222.204.132,it,97.13
180.18.183.179,fr,12.2
211.81.17.41,it,67.58
126.62.122.234,es,96.59
36.122.234.4,en,92.66
176.202.101.187,es,8.47
61.121.145.217,pt,8.4
221.136.49.232,zh,58.05
5.62.144.71,pt,30.6
77.222.201.236,en,31.54
169.56.96.175,de,86.9
210.184.112.183,ru,70.49
25.182.48.66,it,57.66
223.46.228.239,fr,49.95
207.170.95.73,es,57.88
153.34.30.179,fr,53.96
252.130.68.67,el,73.14
114.54.66.65,fr,98.62
87.234.136.110,en,58.82
71.193.65.219,es,67.6
88.186.107.41,pt,12.15
145.192.252.181,en,89.42
15.184.100.29,ru,67.77
123.137.101.191,zh,59.75
137.2.135.68,de,32.41
63.166.134.196,de,8.71
29.113.4.46,en,55.21
0.89.170.195,de,64.56
65.196.86.252,ru,14.07
99.156.31.246,es,87.19
224.232.151.24,pt,58.63
136.162.203.178,en,58.08
36.247.187.84,ru,9.98
229.182.69.91,ru,39.75
69.18.101.123,el,9.61
83.74.148.119,ru,98.26
130.31.229.235,pt,7.76
216.66.21.56,el,42.85
129.4.76.61,es,49.39
66.221.172.80,ru,56.19
59.164.232.84,en,23.37
13.65.242.230,fr,18.91
248.227.15.234,ru,44.05
231.106.135.31,el,62.14
12.213.185.195,es,10.57
248.38.115.173,fr,69.11
185.248.187.0,de,52.24
48.129.11.76,es,6.32
19.13.200.32,fr,34.95
92.24.250.160,fr,98.05
6.7.55.229,fr,37.15
177.122.60.62,ru,3.9
151.70.151.92,el,24.32
101.18.195.85,it,90.3
68.142.62.43,pt,39.01
156.8.39.170,it,87.1
116.63.101.91,zh,1.42
128.190.186.209,zh,73.81
122.39.170.132,ru,51.37
114.149.147.117,es,29.0
187.90.197.195,es,78.62
164.111.58.206,es,12.32
148.123.225.136,pt,5.83
27.69.206.242,zh,96.77
100.71.205.133,ru,42.81
202.18.49.138,pt,36.04
46.159.176.5,de,71.69
216.203.66.84,de,48.55
178.56.129.37,fr,2.94
205.34.78.204,es,13.94
82.192.18.165,es,15.77
188.47.217.46,el,77.88
54.143.195.76,fr,33.65
69.119.134.190,en,57.23
90.62.98.193,fr,68.04
7.31.249.197,zh,12.0
119.21.87.36,ru,64.36
129.76.64.57,fr,91.35
6.120.192.215,en,98.17
63.68.71.64,fr,19.76
143.79.34.127,el,38.84
164.225.5.209,it,5.98
253.78.210.57,it,64.5
72.79.35.217,fr,72.37
8.17.11.59,es,28.37
169.123.97.66,el,17.46
56.97.99.204,en,96.3
75.147.0.73,pt,16.69
201.14.198.213,es,63.45
213.70.17.237,ru,26.61
5.182.77.14,en,80.8
230.166.184.183,de,25.16
96.181.253.50,it,31.49
121.103.90.20,zh,25.87
181.220.238.33,zh,20.22
235.254.171.197,en,66.21
203.167.152.134,fr,22.79
41.183.25.30,en,55.68
72.71.220.81,fr,22.12
108.81.105.34,zh,6.19
107.88.148.190,el,17.13
205.17.93.253,ru,16.58
54.134.204.198,de,74.63
83.116.83.204,pt,74.38
203.79.48.60,de,32.36
252.186.182.231,ru,95.13
248.188.197.13,es,39.68
140.200.140.169,en,29.23
183.109.174.19,fr,30.75
198.228.180.125,de,30.83
140.16.25.52,zh,20.24
99.235.214.27,pt,66.33
230.200.132.55,el,12.17
72.12.40.209,de,33.68
146.60.220.129,pt,53.4
53.109.98.53,es,1.23
4.151.87.169,it,26.79
151.153.48.94,pt,21.94
53.113.137.105,de,26.54
177.62.144.73,ru,22.8
13.128.34.120,ru,94.4
219.100.96.176,fr,13.13
146.245.168.157,ru,43.26
80.204.183.253,pt,72.2
142.247.195.224,es,66.06
156.70.208.94,ru,75.1
23.65.108.201,pt,38.74
214.83.196.16,el,99.2
236.0.4.23,pt,3.57
38.128.89.209,en,77.85
116.77.76.94,fr,48.85
114.55.206.229,en,59.26
62.210.125.175,fr,24.02
230.22.56.29,en,82.68
197.168.145.23,zh,52.29
130.124.17.177,en,98.47
110.7.153.190,de,22.37
1.124.121.39,fr,85.94
169.118.139.26,en,17.69
201.216.124.75,zh,72.34
139.169.80.237,en,59.91
108.232.15.50,ru,44.51
67.98.138.80,zh,86.33
191.106.21.74,ru,40.09
204.17.171.41,ru,14.76
32.178.231.100,ru,5.56
60.179.119.223,it,27.33
176.64.197.217,ru,64.15
37.223.148.109,el,23.31
46.21.83.171,de,27.68
116.178.252.126,zh,83.59
18.101.93.7,zh,21.08
8.50.163.98,en,94.78
236.62.151.72,it,94.39
233.137.51.67,de,45.69
82.167.240.145,ru,6.1
18.8.123.241,it,58.31
222.147.235.247,el,19.14
143.241.254.74,fr,11.34
6.68.77.205,en,65.92
205.7.121.30,fr,14.25
88.27.238.65,el,26.59
118.191.31.116,de,0.03
138.225.184.135,zh,98.78
215.152.43.138,de,73.38
249.117.125.227,zh,31.26
215.159.169.83,es,42.43
7.242.254.195,zh,18.1
249.55.116.151,en,86.97
83.50.144.0,de,97.66
55.83.163.190,fr,69.01
239.190.111.170,es,0.22
191.55.50.234,es,65.8
42.113.49.27,es,43.34
15.138.63.145,zh,14.48
153.146.94.122,zh,86.93
24.195.79.114,el,80.46
47.152.1.93,it,79.28
43.255.24.213,ru,81.12
124.119.105.150,el,18.49
40.209.246.2,fr,8.78
73.120.239.16,de,28.62
22.94.136.92,fr,39.72
133.86.72.42,pt,53.98
144.122.247.178,el,75.81
152.178.113.245,ru,24.95
197.209.154.156,en,3.48
47.30.105.213,zh,82.88
250.89.35.245,fr,46.21
18.65.145.107,pt,54.51
82.205.194.112,en,4.04
43.58.72.168,fr,36.54
22.25.246.144,ru,62.63
121.51.16.187,es,47.49
227.164.5.38,zh,16.69
12.162.37.198,de,67.85
54.203.124.152,en,7.08
131.184.93.144,pt,52.86
30.242.149.160,el,32.38
254.156.146.238,de,37.34
89.130.135.208,en,73.89
204.72.195.86,fr,19.17
244.251.248.121,en,22.78
211.30.172.31,es,66.38
88.90.163.59,el,73.12
216.169.53.77,el,4.35
228.184.202.172,el,30.85
20.89.252.72,pt,25.34
223.154.118.132,pt,81.74
209.195.173.135,pt,52.04
53.65.89.21,ru,57.72
95.10.167.241,zh,1.69
238.180.123.50,de,49.84
109.161.58.105,fr,8.31
151.239.18.207,es,20.42
245.210.59.148,el,52.52
186.30.158.162,it,33.05
217.152.12.72,el,73.16
23.51.110.91,el,88.18
39.168.92.96,en,18.08
154.77.69.217,es,52.75
218.138.26.138,fr,9.89
197.230.18.128,pt,74.44
152.198.238.98,ru,78.78
98.83.12.35,it,53.8
167.244.203.103,de,87.67
23.244.98.181,en,69.35
133.211.56.113,es,47.84
57.100.201.253,it,23.2
210.86.90.60,pt,26.38
219.231.210.80,el,71.17
148.245.246.187,fr,67.36
207.241.127.1,ru,1.95
204.58.171.91,pt,25.58
136.38.170.214,pt,36.39
201.101.152.26,zh,61.27
182.49.47.243,en,15.18
252.192.164.188,el,61.68
187.209.211.209,es,27.78
64.174.251.241,pt,41.3
61.102.50.11,el,52.86
249.69.91.237,de,7.47
247.125.255.126,it,69.48
84.98.74.129,fr,82.41
57.86.104.131,en,79.62
144.237.122.36,zh,25.64
86.20.51.162,it,56.33
175.26.24.98,es,94.91
208.57.45.157,de,13.91
98.0.111.42,it,84.35
82.6.191.152,de,55.89
45.84.103.177,ru,76.11
87.10.139.217,it,82.5
137.51.162.174,zh,47.08
106.20.112.16,ru,6.0
17.207.34.66,el,12.95
86.146.167.208,en,58.57
49.181.82.132,en,42.3
13.54.166.184,zh,94.64
15.20.136.172,pt,50.71
139.179.235.205,es,58.66
104.106.85.239,de,48.81
53.252.159.229,fr,38.14
173.228.191.223,it,33.88
76.5.107.188,de,3.09
150.70.129.161,el,67.28
152.246.41.138,ru,68.32
5.90.115.95,el,88.05
236.74.111.10,es,15.54
131.31.230.206,de,72.28
208.142.150.192,it,92.08
62.177.30.77,fr,24.3
154.250.32.175,zh,93.16
53.174.66.72,es,8.0
245.117.111.68,ru,22.88
197.32.4.232,zh,81.81
212.149.77.171,it,89.69
64.143.91.7,en,42.94
29.58.28.94,zh,89.71
245.192.168.164,el,63.17
66.248.23.163,es,11.36
149.69.91.115,el,75.65
45.248.6.98,en,12.38
60.182.209.126,ru,95.99
190.188.102.254,pt,83.89
143.197.239.61,zh,17.72
224.168.134.58,fr,7.38
157.155.80.191,el,30.48
117.55.74.4,el,46.15
235.97.240.112,el,98.97
19.232.191.54,es,5.86
169.219.96.83,ru,60.94
180.3.137.46,fr,83.77
222.25.35.179,de,37.12
149.103.24.37,ru,40.52
220.235.5.6,pt,2.0
82.69.7.72,zh,6.24
146.218.190.51,es,10.56
108.4.249.35,fr,23.81
12.176.94.2,fr,39.73
28.244.49.204,fr,95.29
78.217.54.246,it,1.52
241.57.175.3,de,9.7
100.36.127.108,es,45.88
14.104.128.117,zh,29.99
127.76.84.102,de,27.93
224.145.64.71,zh,22.78
181.116.52.187,en,4.48
33.76.11.123,fr,37.95
224.70.32.253,en,62.56
18.39.125.36,el,42.85
233.22.33.228,fr,25.2
253.157.168.254,it,57.28
221.11.90.82,de,62.47
72.81.147.42,it,89.02
126.94.3.179,zh,16.84
194.85.130.40,el,80.41
143.121.112.9,fr,39.26
108.148.3.174,el,35.54
90.208.8.210,zh,77.34
40.131.123.14,it,15.6
200.66.68.64,ru,62.84
146.17.58.93,es,98.25
235.133.94.146,ru,25.91
105.250.95.122,fr,96.99
223.252.24.223,de,44.5
151.230.255.191,zh,25.81
177.106.167.111,en,92.19
21.79.223.18,pt,53.77
229.208.178.136,zh,83.31
63.253.247.42,pt,14.05
12.11.86.89,it,48.19
13.150.69.219,en,59.94
123.243.181.202,it,74.89
89.247.84.242,de,22.68
235.8.142.136,zh,84.74
238.227.91.118,en,6.99
197.246.172.245,el,48.77
11.47.247.252,el,70.67
162.190.212.110,de,68.14
25.170.96.206,el,0.79
124.65.136.151,pt,24.01
187.196.124.150,ru,13.1
171.143.150.105,pt,83.15
225.208.191.242,zh,63.93
210.104.114.33,de,4.99
210.182.133.46,pt,51.78
1.190.193.7,fr,59.26
70.167.53.206,es,43.66
58.176.42.207,fr,10.37
75.165.69.134,el,49.92
12.227.193.106,pt,80.47
23.114.13.196,pt,88.72
149.85.127.33,pt,48.01
185.133.217.194,it,91.55
250.11.156.237,fr,34.79
76.241.42.210,de,49.29
96.124.177.221,en,60.12
25.7.227.179,pt,37.44
175.10.186.47,pt,85.93
62.176.139.151,it,65.95
161.245.33.103,fr,8.87
227.227.153.25,en,40.13
19.171.226.106,fr,5.21
195.156.143.17,ru,32.82
114.2.61.91,it,21.34
89.252.42.243,zh,23.28
177.106.228.194,en,46.55
154.118.37.19,en,73.36
231.123.137.89,fr,8.61
181.40.190.202,zh,57.92
213.167.18.170,de,70.86
167.84.61.199,es,58.88
121.166.119.108,it,15.65
39.42.78.43,ru,28.89
198.115.98.252,en,33.23
32.28.185.73,pt,89.23
111.36.64.63,es,30.12
146.208.30.83,es,96.66
149.153.107.179,en,5.14
252.234.70.43,ru,72.4
152.11.0.176,fr,89.96
14.223.48.134,ru,73.92
75.222.188.150,it,81.36
168.90.198.160,pt,35.71
205.29.116.129,fr,35.9
159.37.152.208,it,89.64
182.63.9.106,en,3.75
120.30.218.228,zh,77.21
204.54.112.106,en,9.34
181.172.126.235,de,38.55
214.131.217.196,it,10.22
37.162.26.88,zh,58.98
51.170.159.95,el,30.36
155.81.126.10,ru,83.92
83.24.83.117,fr,59.11
145.78.3.60,zh,25.41
107.253.110.101,el,62.86
86.96.33.83,pt,4.6
227.40.102.224,en,29.06
60.31.198.49,ru,48.97
228.234.43.49,de,29.83
59.150.179.136,el,28.61
41.80.58.81,ru,34.82
36.69.60.74,el,83.21
44.147.54.73,zh,54.9
174.89.152.2,fr,27.92
43.103.223.229,zh,72.26
52.117.153.104,zh,40.23
203.2.243.23,en,77.09
253.78.192.155,de,1.12
33.96.226.115,el,85.7
236.141.92.155,zh,85.06
56.176.20.211,de,5.4
169.84.146.23,pt,49.79
204.213.103.240,ru,75.74
163.4.185.238,es,68.81
184.215.52.233,ru,18.59
171.123.97.199,en,24.6
21.211.167.106,en,29.2
235.136.106.190,ru,84.47
164.176.153.34,es,53.87
60.209.219.148,fr,16.66
31.215.79.186,ru,49.34
229.240.137.42,pt,84.52
99.10.74.80,it,87.39
135.186.61.198,pt,65.99
244.194.82.32,fr,36.03
199.183.167.244,zh,53.43
177.1.193.2,es,68.54
236.178.30.10,pt,28.82
4.131.96.167,pt,51.53
182.206.236.57,en,75.43
238.175.234.35,fr,80.46
147.205.97.18,zh,11.92
186.139.130.173,de,22.21
86.99.56.174,it,10.78
6.245.50.35,pt,74.1
250.66.144.30,ru,16.07
116.65.244.55,es,38.65
17.162.87.106,ru,89.03
246.224.91.85,fr,6.76
239.151.115.60,zh,66.4
181.109.10.252,it,50.27
196.204.26.198,en,70.46
242.123.84.156,el,14.19
142.4.178.143,de,85.48
248.131.67.241,es,13.85
223.219.21.8,it,73.06
95.127.188.165,es,94.47
110.83.2.80,de,66.4
139.44.60.192,en,82.27
93.89.140.232,pt,16.24
232.47.61.230,fr,54.53
148.151.106.23,es,99.77
192.90.239.107,es,9.37
98.71.201.70,es,52.37
223.231.183.192,es,12.66
38.238.35.233,de,99.73
154.84.190.221,it,28.04
183.127.14.138,pt,21.48
81.221.174.243,es,38.78
193.22.56.224,el,45.88
255.12.97.75,fr,48.34
160.231.194.243,el,99.19
228.60.25.162,el,31.13
254.90.169.129,pt,81.32
119.6.25.61,fr,51.24
223.197.155.170,it,32.24
203.191.90.149,el,3.61
81.136.249.14,el,73.18
185.22.157.108,en,78.92
227.252.31.167,de,17.67
5.158.236.158,de,80.33
150.53.12.157,el,41.73
251.206.241.140,ru,73.8
222.35.184.84,de,65.61
68.58.117.189,pt,81.55
153.14.63.53,de,52.0
59.83.104.176,es,59.45
223.245.157.243,el,76.88
78.174.10.141,ru,86.01
113.123.223.62,en,82.73
55.11.194.79,es,96.01
113.227.11.243,de,77.83
216.45.125.195,zh,87.69
106.116.31.1,pt,72.43
3.213.133.114,fr,8.33
156.120.54.29,it,54.74
50.102.250.223,zh,67.99
167.7.31.204,it,60.32
159.190.0.35,pt,85.49
163.2.130.63,el,69.63
158.5.11.178,ru,95.6
131.241.244.143,pt,95.21
144.65.60.200,fr,39.22
204.63.129.96,fr,18.1
160.10.247.14,de,46.37
218.181.118.116,es,55.07
16.168.250.222,de,73.02
196.66.160.193,el,71.11
180.194.222.232,it,56.85
187.100.170.57,it,76.2
241.201.204.216,de,71.27
215.238.123.56,de,74.97
40.81.58.207,el,47.84
63.11.53.224,fr,70.26
84.17.69.56,fr,54.06
176.34.17.186,ru,26.48
6.131.130.87,el,78.36
5.117.38.39,es,70.4
240.23.178.20,it,81.38
159.238.180.89,ru,65.62
74.8.217.172,es,21.26
14.79.88.198,fr,37.51
76.244.214.170,it,13.3
80.196.168.117,fr,85.52
86.167.30.192,de,43.49
173.27.39.165,zh,58.09
157.119.150.43,ru,98.07
157.229.22.195,zh,55.08
90.60.213.21,pt,1.66
162.19.51.64,de,41.04
101.234.146.144,el,61.96
58.225.170.54,ru,64.35
208.243.58.28,fr,10.22
170.43.207.14,pt,7.05
127.237.255.106,el,51.42
122.138.79.45,ru,28.14
244.142.182.162,ru,71.96
118.249.229.132,de,58.25
84.124.74.106,en,66.03
44.171.140.232,fr,95.7
224.124.32.228,de,22.21
85.29.46.34,es,81.22
4.229.243.176,el,40.92
96.186.205.116,pt,65.91
214.46.34.32,ru,93.0
137.190.100.142,pt,33.17
208.142.90.155,ru,50.99
16.6.173.145,en,71.66
233.172.117.142,zh,11.07
80.180.57.166,fr,24.1
131.16.203.42,ru,80.07
187.138.4.81,fr,64.17
206.239.99.151,es,9.88
15.72.115.121,it,46.73
98.216.70.54,de,95.93
212.167.67.209,ru,83.16
84.253.84.226,el,17.69
46.195.221.0,de,14.72
122.154.181.70,zh,63.41
58.191.252.233,it,3.07
148.77.92.43,it,7.09
8.58.220.154,en,90.16
185.39.36.158,ru,25.39
233.90.122.156,en,3.05
7.158.30.200,en,76.45
220.4.244.87,it,67.42
114.15.150.163,fr,14.51
166.40.200.92,el,15.98
105.37.200.161,it,50.16
235.89.207.99,es,36.09
181.242.50.133,el,37.39
54.209.243.183,en,76.22
199.60.125.208,en,19.63
102.178.13.9,fr,25.7
34.116.43.203,en,83.65
214.141.99.7,en,80.76
36.52.173.4,zh,54.28
81.130.13.206,pt,94.73
187.25.118.144,en,35.44
29.219.150.182,fr,28.97
222.222.83.166,el,85.22
166.51.17.234,es,55.6
136.124.216.57,zh,24.02
246.217.92.218,pt,90.0
65.45.210.8,it,3.31
248.182.3.91,de,99.68
